label,x,y,score,class,year,citations,title,doi
Gul Agha (1986),6613.492,3443.788,0,3,1986,1375,Actors,10.7551/mitpress/1086.001.0001
Brian F. Chellas (1980),6761.223,3507.297,0,3,1980,1385,Modal Logic,10.1017/cbo9780511621192
Rodney A. Brooks (1991),5008.708,2961.968,0,3,1991,4642,Intelligence without representation,10.1016/0004-3702(91)90053-m
Rick Grush (2004),4031.274,3307.353,0.005,3,2004,1374,"The emulation theory of representation: Motor control, imagery, and perception",10.1017/s0140525x04000093
Arthur E. Bryson & Yu‐Chi Ho (2018),4139.192,-1162.808,0,3,2018,5983,Applied Optimal Control,10.1201/9781315137667
John W. Labadie (2004),5187.846,-567.854,0,2,2004,1558,Optimal Operation of Multireservoir Systems: State-of-the-Art Review,10.1061/(asce)0733-9496(2004)130:2(93)
Richard Bellman (1961),4630.944,-1331.551,0.001,2,1961,2687,Adaptive Control Processes,10.1515/9781400874668
Richard Bellman (1958),6884.147,-506.814,0,2,1958,2672,On a routing problem,10.1090/qam/102435
Gianni A. Di & Marco Dorigo (1998),7142.78,924.999,0.001,2,1998,1576,AntNet: Distributed Stigmergetic Control for Communications Networks,10.1613/jair.530
Marco Dorigo et al. (2004),7555.238,733.607,0.002,2,2004,1507,Ant Colony Optimization and Swarm Intelligence,10.1007/b99492
Y. del Valle et al. (2008),7342.707,-276.764,0.005,2,2008,2259,"Particle Swarm Optimization: Basic Concepts, Variants and Applications in Power Systems",10.1109/tevc.2007.896686
Yibing Shi & R.C. Eberhart (2002),7374.23,-583.981,0,2,2002,10056,A modified particle swarm optimizer,10.1109/icec.1998.699146
Daniel J. Bratton & James Kennedy (2007),7670.58,-697.952,0.001,2,2007,1347,Defining a Standard for Particle Swarm Optimization,10.1109/sis.2007.368035
Rui Mendes et al. (2004),7236.293,-637.995,0.001,2,2004,1739,"The Fully Informed Particle Swarm: Simpler, Maybe Better",10.1109/tevc.2004.826074
Ioan-Cristian Trelea (2003),7372.193,-654.199,0.005,2,2003,2609,The particle swarm optimization algorithm: convergence analysis and parameter selection,10.1016/s0020-0190(02)00447-7
Jingqiao Zhang & Arthur C. Sanderson (2009),7270.944,-272.445,0.001,2,2009,3540,JADE: Adaptive Differential Evolution With Optional External Archive,10.1109/tevc.2009.2014613
A. E. Eiben et al. (1999),6432.698,-66.305,0.004,2,1999,1921,Parameter control in evolutionary algorithms,10.1109/4235.771166
Unknown (1993),4585.058,786.7,0,2,1993,1656,*13 Simulated Annealing and Boltzmann Machines,10.7551/mitpress/4931.003.0017
Kenneth V. Price et al. (2014),7572.004,-380.12,0.001,2,2014,5779,Differential Evolution: A Practical Approach to Global Optimization,10.1007/3-540-31306-0
Hui Li & Qingfu Zhang (2008),8158.187,-767.844,0.001,2,2008,2475,"Multiobjective Optimization Problems With Complicated Pareto Sets, MOEA/D and NSGA-II",10.1109/tevc.2008.925798
Carlos A. Coello Coello et al. (2002),8477.029,-796.216,0.018,2,2002,2655,Evolutionary Algorithms for Solving Multi-Objective Problems,10.1007/978-1-4757-5184-0
Carlos A. Coello Coello (1999),7855.055,-520.307,0,2,1999,1365,A Comprehensive Survey of Evolutionary-Based Multiobjective Optimization Techniques,10.1007/bf03325101
Carlos M. Fonseca & P.J. Fleming (1993),8369.464,-871.664,0,2,1993,1834,"GENETIC ALGORITHMS FOR MULTI-OBJECTIVE OPTIMIZATION: FORMULATION, DISCUSSION, AND GENERALIZATION",
Carlos A. Coello Coello & Margarita Reyes-Sierra (2006),8039.745,-608.443,0.02,2,2006,1347,Multi-Objective Particle Swarm Optimizers: A Survey of the State-of-the-Art,10.5019/j.ijcir.2006.68
Andries P. Engelbrecht (2005),7237.619,-291.957,0,2,2005,1888,Fundamentals of Computational Swarm Intelligence,
Derviş Karaboğa et al. (2012),8355.548,-159.928,0.001,2,2012,1931,A comprehensive survey: artificial bee colony (ABC) algorithm and applications,10.1007/s10462-012-9328-0
Unknown (2019),7526.269,-183.773,0,2,2019,6316,Particle Swarm Optimization,10.1142/9789811205675_0004
Sankalap Arora & Satvir Singh (2018),7341.164,-31.807,0,2,2018,1632,Butterfly optimization algorithm: a novel approach for global optimization,10.1007/s00500-018-3102-4
Claude Sammut & Geoffrey I. Webb (2010),3554.696,-196.976,0.002,0,2010,3447,Encyclopedia of Machine Learning,10.1007/978-0-387-30164-8
Claude Sammut & Geoffrey I. Webb (2017),4149.995,-83.522,0,1,2017,1445,Learning Bayesian Networks,10.1007/978-1-4899-7687-1_100245
Marco Scutari (2010),3977.776,-411.581,0,1,2010,1665,Learning Bayesian Networks with the<b>bnlearn</b><i>R</i>Package,10.18637/jss.v035.i03
El‐Ghazali Talbi (2009),7578.937,-86.463,0,2,2009,2506,Metaheuristics from design to implementation,
Derviş Karaboğa & Bahriye Akay (2007),8448.563,-237.64,0,2,2007,1374,Artificial Bee Colony (ABC) Optimization Algorithm for Solving Constrained Optimization Problems,10.1007/978-3-540-72950-1_77
Derviş Karaboğa (2005),8331.249,-89.732,0.003,2,2005,5440,AN IDEA BASED ON HONEY BEE SWARM FOR NUMERICAL OPTIMIZATION,
Jiankai Xue & Bo Shen (2020),7424.499,280.202,0,2,2020,3441,A novel swarm intelligence optimization approach: sparrow search algorithm,10.1080/21642583.2019.1708830
W D Hamilton (1971),8532.434,3335.264,0.003,3,1971,3431,Geometry for the selfish herd,10.1016/0022-5193(71)90189-5
W D Hamilton (1966),8634.462,3791.287,0.001,3,1966,2283,The moulding of senescence by natural selection,10.1016/0022-5193(66)90184-6
George C. Williams (1957),9063.15,3800.847,0,3,1957,1911,"Pleiotropy, Natural Selection, and the Evolution of Senescence",10.2307/2406060
George C. Williams (2018),8390.646,4147.398,0,3,2018,2793,Adaptation and Natural Selection: A Critique of Some Current Evolutionary Thought,10.1515/9780691185507
Robert Kurzban & Mark R. Leary (2001),8108.114,5110.379,0.015,3,2001,1368,Evolutionary origins of stigmatization: The functions of social exclusion.,10.1037/0033-2909.127.2.187
Paul Rozin & April Fallon (1987),6892.401,6164.75,0,3,1987,1612,A perspective on disgust.,10.1037/0033-295x.94.1.23
Aradhna Krishna (2011),6053.007,6189.779,0,3,2011,1469,"An integrative review of sensory marketing: Engaging the senses to affect perception, judgment and behavior",10.1016/j.jcps.2011.08.003
Yaacov Trope & Nira Liberman (2010),5755.6,6043.675,0,3,2010,6058,Construal-level theory of psychological distance.,10.1037/a0018963
Eldar Shafir (1993),6693.146,5982.5,0,3,1993,1407,Reason-based choice,10.1016/0010-0277(93)90034-s
Joel Huber et al. (1982),7088.519,6191.913,0.005,3,1982,1965,Adding Asymmetrically Dominated Alternatives: Violations of Regularity and the Similarity Hypothesis,10.1086/208899
Hillel J. Einhorn & Robin M. Hogarth (1981),6813.695,5587.288,0.006,3,1981,1682,Behavioral Decision Theory: Processes of Judgement and Choice,10.1146/annurev.ps.32.020181.000413
Verlin B. Hinsz et al. (1997),8344.584,6125.434,0.009,3,1997,1421,The emerging conceptualization of groups as information processors.,10.1037/0033-2909.121.1.43
Garold Stasser & William Titus (1985),8784.654,5963.793,0,3,1985,1758,Pooling of unshared information in group decision making: Biased information sampling during discussion.,10.1037/0022-3514.48.6.1467
Robert T. Golembiewski (2001),9106.82,6543.107,0,3,2001,1371,Handbook of Organizational Behavior,
Martin Hoegl & Hans Georg Gemuenden (2001),9519.478,6387.456,0,3,2001,1629,Teamwork Quality and the Success of Innovative Projects: A Theoretical Concept and Empirical Evidence,10.1287/orsc.12.4.435.10635
Richard P. Bagozzi & Youjae Yi (1988),9642.386,5903.285,0.013,3,1988,20118,On the evaluation of structural equation models,10.1007/bf02723327
Fred D. Davis et al. (1992),8897.134,6470.541,0.017,3,1992,6039,Extrinsic and Intrinsic Motivation to Use Computers in the Workplace<sup>1</sup>,10.1111/j.1559-1816.1992.tb00945.x
Viswanath Venkatesh et al. (2003),8789.494,6776.257,0.014,3,2003,2937,User Acceptance of Information Technology: Toward a Unified View,
Michael G. Morris & Viswanath Venkatesh (2000),8780.181,6826.085,0.014,3,2000,1666,AGE DIFFERENCES IN TECHNOLOGY ADOPTION DECISIONS: IMPLICATIONS FOR A CHANGING WORK FORCE,10.1111/j.1744-6570.2000.tb00206.x
Icek Ajzen (1991),8530.113,6826.051,0.081,3,1991,81343,The theory of planned behavior,10.1016/0749-5978(91)90020-t
Richard J. Hill et al. (1977),8154.287,7345.105,0.002,3,1977,2393,"Belief, Attitude, Intention and Behavior: An Introduction to Theory and Research.",10.2307/2065853
Icek Ajzen (2012),8218.589,7382.647,0,3,2012,5379,The Theory of Planned Behavior,10.4135/9781446249215.n22
Martin Fishbein (1963),7757.377,7039.838,0,3,1963,1622,An Investigation of the Relationships between Beliefs about an Object and the Attitude toward that Object,10.1177/001872676301600302
Michael K. Brady & J. Joseph Cronin (2001),8924.996,6883.22,0.106,3,2001,3462,Some New Thoughts on Conceptualizing Perceived Service Quality: A Hierarchical Approach,10.1509/jmkg.65.3.34.18334
Clay M. Voorhees et al. (2015),10002.957,4889.338,0.105,3,2015,1867,"Discriminant validity testing in marketing: an analysis, causes for concern, and proposed remedies",10.1007/s11747-015-0455-4
Rosanna Garcia & Roger J. Calantone (2002),10370.852,4813.082,0,3,2002,1665,A critical look at technological innovation typology and innovativeness terminology: a literature review,10.1111/1540-5885.1920110
William J. Abernathy & Kim B. Clark (1985),10259.476,5505.46,0,3,1985,1972,Innovation: Mapping the winds of creative destruction,10.1016/0048-7333(85)90021-6
Carliss Y. Baldwin & Kim B. Clark (2000),9799.272,5644.225,0.001,3,2000,3360,Design Rules,10.7551/mitpress/2366.001.0001
Amrit Tiwana et al. (2010),9588.627,5961.243,0.002,3,2010,1366,"<b>Research Commentary</b>—Platform Evolution: Coevolution of Platform Architecture, Governance, and Environmental Dynamics",10.1287/isre.1100.0323
Wanda J. Orlikowski & Calogero Iacono (2001),9667.811,6293.352,0.007,3,2001,2688,Research Commentary: Desperately Seeking the “IT” in IT Research—A Call to Theorizing the IT Artifact,10.1287/isre.12.2.121.9700
Wanda J. Orlikowski & Debra C. Gash (1994),9703.617,6333.96,0.02,3,1994,1699,Technological frames,10.1145/196734.196745
Gerald R. Salancik & Jeffrey Pfeffer (1978),9532.647,6457.83,0.001,3,1978,5333,A Social Information Processing Approach to Job Attitudes and Task Design,10.2307/2392563
Robert N. Stern et al. (1979),9805.271,6486.311,0,3,1979,1446,The External Control of Organizations: A Resource Dependence Perspective.,10.2307/2065200
H. Joseph Reitz et al. (1979),9755.762,6175.724,0.001,3,1979,9405,The External Control of Organizations: A Resource Dependence Perspective,10.2307/257794
Joe C. Magee & Adam D. Galinsky (2008),8727.32,6748.864,0.001,3,2008,1387,8 Social Hierarchy: The Self‐Reinforcing Nature of Power and Status,10.1080/19416520802211628
Morton Deutsch (1973),8739.282,7012.131,0,3,1973,1354,The Resolution of Conflict,10.1177/000276427301700206
Samuel L. Gaertner et al. (1993),8521.575,7120.106,0.004,3,1993,1526,The Common Ingroup Identity Model: Recategorization and the Reduction of Intergroup Bias,10.1080/14792779343000004
Fraser Reid (1987),8056.708,7408.155,0,3,1987,8224,Rediscovering the Social Group: A Self‐Categorization Theory,10.1111/j.2044-8309.1987.tb00799.x
Diane M. Mackie et al. (2000),7077.895,7284.616,0,3,2000,1604,Intergroup emotions: Explaining offensive action tendencies in an intergroup context.,10.1037/0022-3514.79.4.602
Eliot R. Smith & Jamie DeCoster (2000),5263.752,6322.547,0.006,3,2000,1760,Dual-Process Models in Social and Cognitive Psychology: Conceptual Integration and Links to Underlying Memory Systems,10.1207/s15327957pspr0402_01
Shelly Chaiken (1980),6732.034,6686.955,0.001,3,1980,5013,Heuristic versus systematic information processing and the use of source versus message cues in persuasion.,10.1037/0022-3514.39.5.752
Shelly Chaiken et al. (1989),7101.076,7041.391,0,3,1989,1420,Heuristic and systematic information processing within and beyond the persuasion context.,
Anne M. Koenig et al. (2011),7205.275,7803.221,0,3,2011,1648,Are leader stereotypes masculine? A meta-analysis of three research paradigms.,10.1037/a0023557
Laurie A. Rudman & Peter Glick (2001),7234.318,8076.465,0,3,2001,1798,Prescriptive Gender Stereotypes and Backlash Toward Agentic Women,10.1111/0022-4537.00239
Ziva Kunda (1990),7050.93,5927.985,0.01,3,1990,7982,The case for motivated reasoning.,10.1037/0033-2909.108.3.480
P. C. Wason & P. N. Johnson‐Laird (1972),6361.706,5850.216,0.001,3,1972,1413,Psychology of Reasoning: Structure and Content,
P. C. Wason (1968),6666.917,5598.381,0,3,1968,1389,Reasoning about a Rule,10.1080/14640746808400161
Marilyn Ford & P. N. Johnson‐Laird (1985),5071.137,6088.403,0.005,3,1985,4489,"Mental Models: Towards a Cognitive Science of Language, Inference, and Consciousness",10.2307/414498
Herbert H. Clark & Edward F. Schaefer (1989),4173.334,5756.71,0,3,1989,1524,Contributing to Discourse,10.1207/s15516709cog1302_7
Barbara J. Grosz & Candace L. Sidner (1986),2609.47,3730.475,0,3,1986,2606,"Attention, intentions, and the structure of discourse",10.5555/12457.12458
Ron Artstein & Massimo Poesio (2008),396.865,3768.832,0.001,0,2008,1544,Inter-Coder Agreement for Computational Linguistics,10.1162/coli.07-034-r2
Paul Jaccard (1912),-731.394,1547.325,0,0,1912,4351,THE DISTRIBUTION OF THE FLORA IN THE ALPINE ZONE.<sup>1</sup>,10.1111/j.1469-8137.1912.tb05611.x
Kelly H. Zou et al. (2004),254.116,699.86,0.007,0,2004,1801,Statistical validation of image segmentation quality based on a spatial overlap index1,10.1016/s1076-6332(03)00671-8
Kullervo Hynynen et al. (2001),574.225,1022.133,0,0,2001,1419,Noninvasive MR Imaging–guided Focal Opening of the Blood-Brain Barrier in Rabbits,10.1148/radiol.2202001804
Wenya Linda Bi et al. (2019),-1039.466,284.021,0.011,0,2019,1776,Artificial intelligence in cancer imaging: Clinical challenges and applications,10.3322/caac.21552
Bo Zhu et al. (2018),-1466.174,884.146,0.081,0,2018,1691,Image reconstruction by domain-transform manifold learning,10.1038/nature25988
Klaas P. Pruessmann et al. (1999),15.802,-110.038,0.003,4,1999,6040,SENSE: Sensitivity encoding for fast MRI,10.1002/(sici)1522-2594(199911)42:5<952::aid-mrm16>3.0.co;2-s
Daniel K. Sodickson & Warren J. Manning (1997),-550.978,-3092.152,0.008,4,1997,2118,Simultaneous acquisition of spatial harmonics (SMASH): Fast imaging with radiofrequency coil arrays,10.1002/mrm.1910380414
Jürgen Hennig et al. (1986),-364.042,-3756.93,0,4,1986,2058,RARE imaging: A fast imaging method for clinical MR,10.1002/mrm.1910030602
Hákon Guðbjartsson & Samuel Patz (1995),746.258,2597.239,0,3,1995,2428,The rician distribution of noisy mri data,10.1002/mrm.1910340618
Jacques‐Donald Tournier et al. (2004),972.749,7283.229,0.009,3,2004,1653,Direct estimation of the fiber orientation density function from diffusion-weighted MRI data using spherical deconvolution,10.1016/j.neuroimage.2004.07.037
Derek K. Jones et al. (1999),979.077,7176.98,0.002,3,1999,1420,Optimal strategies for measuring diffusion in anisotropic systems by magnetic resonance imaging,10.1002/(sici)1522-2594(199909)42:3<515::aid-mrm14>3.0.co;2-q
P. R. Bevington et al. (1993),2361.632,5607.87,0,3,1993,13677,Data Reduction and Error Analysis for the Physical Sciences,10.1063/1.4823194
John Quackenbush (2002),3582.798,-1893.847,0.001,1,2002,1987,Microarray data normalization and transformation,10.1038/ng1032
Alexander Sturn et al. (2002),3151.278,-2739.535,0.001,1,2002,1786,Genesis: cluster analysis of microarray data,10.1093/bioinformatics/18.1.207
Gabriela Bindea et al. (2009),3817.853,-3439.116,0,1,2009,6499,ClueGO: a Cytoscape plug-in to decipher functionally grouped gene ontology and pathway annotation networks,10.1093/bioinformatics/btp101
Paul Shannon et al. (2003),3630.042,-3290.323,0.028,1,2003,52317,Cytoscape: A Software Environment for Integrated Models of Biomolecular Interaction Networks,10.1101/gr.1239303
Jakub Konečný et al. (2016),-1742.381,1729.469,0.002,0,2016,1651,Federated Optimization: Distributed Machine Learning for On-Device Intelligence,10.48550/arxiv.1610.02527
Martı́n Abadi et al. (2016),-3394.958,2673.317,0.034,0,2016,5538,Deep Learning with Differential Privacy,10.1145/2976749.2978318
Michael T. Burrows et al. (1990),-1089.663,1844.521,0.009,0,1990,2493,A logic of authentication,10.1145/77648.77649
Michael T. Burrows & D. J. Wheeler (1994),2585.022,-3150.737,0,1,1994,2362,A Block-sorting Lossless Data Compression Algorithm,
Peter Menzel et al. (2016),3860.431,-5042.771,0.018,1,2016,2149,Fast and sensitive taxonomic classification for metagenomics with Kaiju,10.1038/ncomms11257
Jeppe Hallgren et al. (2022),3226.267,-4906.987,0.031,1,2022,1376,DeepTMHMM predicts alpha and beta transmembrane proteins using deep neural networks,10.1101/2022.04.08.487609
Alexander Rives et al. (2021),-3065.852,-884.203,0.07,0,2021,2823,Biological structure and function emerge from scaling unsupervised learning to 250 million protein sequences,10.1073/pnas.2016239118
David Eigen et al. (2014),-5375.449,-2014.15,0.005,0,2014,1829,Depth Map Prediction from a Single Image using a Multi-Scale Deep Network,10.48550/arxiv.1406.2283
Noah Snavely et al. (2006),-4361.111,-3962.035,0.004,0,2006,2797,Photo tourism,10.1145/1141911.1141964
Daniel Scharstein & Richard Szeliski (2003),-5525.999,-4403.714,0,0,2003,1536,High-accuracy stereo depth maps using structured light,10.1109/cvpr.2003.1211354
Heiko Hirschmüller (2005),-4542.052,-3631.027,0,0,2005,1715,Accurate and Efficient Stereo Processing by Semi-Global Matching and Mutual Information,10.1109/cvpr.2005.56
Ravi Garg et al. (2016),-5744.983,-2712.703,0.006,0,2016,1504,Unsupervised CNN for Single View Depth Estimation: Geometry to the Rescue,10.1007/978-3-319-46484-8_45
Anton Milan et al. (2016),-5497.32,-3617.219,0.007,0,2016,1389,MOT16: A Benchmark for Multi-Object Tracking,10.48550/arxiv.1603.00831
Dominic Schuhmacher et al. (2008),925.777,-4690.866,0.003,0,2008,1834,A Consistent Metric for Performance Evaluation of Multi-Object Filters,10.1109/tsp.2008.920469
Yaakov Bar‐Shalom et al. (1990),1584.484,-4888.367,0.003,0,1990,3084,<i>Tracking and Data Association</i>,10.1121/1.398863
Thomas Fortmann et al. (1983),799.37,-4914.117,0,0,1983,1435,Sonar tracking of multiple targets using joint probabilistic data association,10.1109/joe.1983.1145560
D. Reid (1979),-452.575,-4889.667,0,0,1979,3003,An algorithm for tracking multiple targets,10.1109/tac.1979.1102177
Samuel S. Blackman (2004),1640.008,-5808.997,0,0,2004,1372,Multiple hypothesis tracking for multiple target tracking,10.1109/maes.2004.1263228
Yakov Bar-Shalom & Xiao Rong-Li (1995),3300.457,-5100.027,0,0,1995,2163,Multitarget-Multisensor Tracking: Principles and Techniques,
